Symbol,Company Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
HINDUNILVR,Hindustan Unilever Limited
HDFC,Housing Development Finance Corporation Limited
ICICIBANK,ICICI Bank Limited
KOTAKBANK,Kotak Mahindra Bank Limited
SBIN,State Bank of India
BAJFINANCE,Bajaj Finance Limited
BHARTIARTL,Bharti Airtel Limited
ITC,ITC Limited
HCLTECH,HCL Technologies Limited
ASIANPAINT,Asian Paints Limited
WIPRO,Wipro Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
LT,Larsen & Toubro Limited
ULTRACEMCO,UltraTech Cement Limited
DMART,Avenue Supermarts Limited
ADANIGREEN,Adani Green Energy Limited
BAJAJFINSV,Bajaj Finserv Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
HDFCLIFE,HDFC Life Insurance Company Limited
TITAN,Titan Company Limited
ONGC,Oil & Natural Gas Corporation Limited
HINDZINC,Hindustan Zinc Limited
ADANIENT,Adani Enterprises Limited
JSWSTEEL,JSW Steel Limited
POWERGRID,Power Grid Corporation of India Limited
SHREECEM,SHREE CEMENT LIMITED
BAJAJ-AUTO,Bajaj Auto Limited
ATGL,Adani Total Gas Limited
NTPC,NTPC Limited
TATAMOTORS,Tata Motors Limited
ADANITRANS,Adani Transmission Limited
M&M,Mahindra & Mahindra Limited
DIVISLAB,Divi's Laboratories Limited

TECHM,Tech Mahindra Limited
DABUR,Dabur India Limited
GRASIM,Grasim Industries Limited
BPCL,Bharat Petroleum Corporation Limited
PIDILITIND,Pidilite Industries Limited
TATASTEEL,Tata Steel Limited
SBILIFE,SBI Life Insurance Company Limited
BRITANNIA,Britannia Industries Limited
SBICARD,SBI Cards and Payment Services Limited
IOC,Indian Oil Corporation Limited
VEDL,Vedanta Limited
COALINDIA,Coal India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
GODREJCP,Godrej Consumer Products Limited
BERGEPAINT,Berger Paints (I) Limited
INDUSINDBK,IndusInd Bank Limited
HINDALCO,Hindalco Industries Limited
EICHERMOT,Eicher Motors Limited
DLF,DLF Limited
LTI,Larsen & Toubro Infotech Limited
INDUSTOWER,Indus Towers Limited
HAVELLS,Havells India Limited
CIPLA,Cipla Limited
SIEMENS,Siemens Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
MOTHERSUMI,Motherson Sumi Systems Limited
INDIGO,InterGlobe Aviation Limited
HDFCAMC,HDFC Asset Management Company Limited
AMBUJACEM,Ambuja Cements Limited
GAIL,GAIL (India) Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
HEROMOTOCO,Hero MotoCorp Limited
NAUKRI,Info Edge (India) Limited
BANDHANBNK,Bandhan Bank Limited
MARICO,Marico Limited
AUROPHARMA,Aurobindo Pharma Limited
BIOCON,Biocon Limited
UPL,UPL Limited
MUTHOOTFIN,Muthoot Finance Limited

LUPIN,Lupin Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CADILAHC,Cadila Healthcare Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
COLPAL,Colgate Palmolive (India) Limited
HONAUT,Honeywell Automation India Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
BOSCHLTD,Bosch Limited
IDBI,IDBI Bank Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
GLAND,Gland Pharma Limited
MCDOWELL-N,United Spirits Limited
NMDC,NMDC Limited
PEL,Piramal Enterprises Limited
GODREJPROP,Godrej Properties Limited
YESBANK,Yes Bank Limited
JUBLFOOD,Jubilant Foodworks Limited
PNB,Punjab National Bank
AUBANK,AU Small Finance Bank Limited
BANKBARODA,Bank of Baroda
GUJGASLTD,Gujarat Gas Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
CONCOR,Container Corporation of India Limited
SRTRANSFIN,Shriram Transport Finance Company Limited
IGL,Indraprastha Gas Limited
ACC,ACC Limited
JINDALSTEL,Jindal Steel & Power Limited
